run_index,run_name,changed_parameter,changed_value,mosaic,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
9,run_09_mosaic_0.8,mosaic,0.8,0.8,10,5669.48,1.10712,1.07458,0.02023,0.84367,0.75023,0.81797,0.66889,0.77704,0.90062,0.01776,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
9,run_09_mosaic_0.8,mosaic,0.8,0.8,11,6203.97,1.07887,1.02505,0.01959,0.7647,0.75169,0.83345,0.69311,0.72197,0.86625,0.01663,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
9,run_09_mosaic_0.8,mosaic,0.8,0.8,12,6748.93,1.06911,0.99718,0.01932,0.7968,0.78777,0.84425,0.68997,0.80215,0.7681,0.01861,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
9,run_09_mosaic_0.8,mosaic,0.8,0.8,13,7289.65,1.05207,0.96794,0.01899,0.76637,0.7729,0.82596,0.68106,0.76571,0.83975,0.01754,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
9,run_09_mosaic_0.8,mosaic,0.8,0.8,14,7834.52,1.04419,0.94337,0.01882,0.81266,0.77891,0.86924,0.7219,0.74404,0.7512,0.01709,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
9,run_09_mosaic_0.8,mosaic,0.8,0.8,15,8378.98,1.01349,0.9122,0.01819,0.85881,0.77859,0.86101,0.71536,0.76984,0.76898,0.01788,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
9,run_09_mosaic_0.8,mosaic,0.8,0.8,16,8913.78,1.01132,0.89318,0.01821,0.88285,0.75093,0.86735,0.72958,0.70899,0.74524,0.0162,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
9,run_09_mosaic_0.8,mosaic,0.8,0.8,17,9448.14,0.9905,0.85005,0.01774,0.87362,0.77467,0.86873,0.72452,0.72203,0.74324,0.01625,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
9,run_09_mosaic_0.8,mosaic,0.8,0.8,18,9988.23,0.97855,0.82262,0.01747,0.87813,0.78613,0.88533,0.74818,0.68007,0.67491,0.0153,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
9,run_09_mosaic_0.8,mosaic,0.8,0.8,19,10530.3,0.9736,0.81804,0.0174,0.8138,0.80402,0.86879,0.73337,0.69216,0.72686,0.01557,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
9,run_09_mosaic_0.8,mosaic,0.8,0.8,20,11075.1,0.95672,0.80453,0.01705,0.87516,0.73837,0.85939,0.72239,0.71162,0.76869,0.01606,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
9,run_09_mosaic_0.8,mosaic,0.8,0.8,21,11580.6,0.79126,0.36748,0.01923,0.82954,0.78921,0.86817,0.73307,0.71465,0.76076,0.01622,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
9,run_09_mosaic_0.8,mosaic,0.8,0.8,22,12095.6,0.77054,0.36309,0.0186,0.87869,0.74761,0.87766,0.74275,0.71342,0.72331,0.01628,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
9,run_09_mosaic_0.8,mosaic,0.8,0.8,23,12611.4,0.75215,0.34681,0.01813,0.8947,0.75848,0.88394,0.73916,0.71516,0.68729,0.0163,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
9,run_09_mosaic_0.8,mosaic,0.8,0.8,24,13179.4,0.73658,0.32536,0.01768,0.85674,0.78978,0.86975,0.72511,0.71952,0.7385,0.01624,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
9,run_09_mosaic_0.8,mosaic,0.8,0.8,25,13777.5,0.71671,0.31665,0.01722,0.8478,0.7739,0.84915,0.70546,0.72142,0.81137,0.0164,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
9,run_09_mosaic_0.8,mosaic,0.8,0.8,26,14290.6,0.7005,0.3081,0.01675,0.84912,0.8113,0.86553,0.72394,0.72185,0.77429,0.01642,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
9,run_09_mosaic_0.8,mosaic,0.8,0.8,27,14796.3,0.68639,0.29829,0.01641,0.84055,0.80728,0.86283,0.72311,0.72582,0.78994,0.01651,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
9,run_09_mosaic_0.8,mosaic,0.8,0.8,28,15302.1,0.66853,0.29257,0.01591,0.87071,0.78413,0.85838,0.72295,0.72262,0.79822,0.01645,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
