run_name,changed_parameter,changed_value,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
run_00_default,none,default,29,16479.2,0.65056,0.30517,0.01546,0.90642,0.72787,0.84601,0.71266,0.73051,0.84887,0.01665,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
run_00_default,none,default,30,16998.9,0.64094,0.28878,0.01528,0.80341,0.78903,0.8344,0.70397,0.73444,0.88528,0.01679,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
run_01_imgsz_416,imgsz,416,1,624.766,1.1765,3.11223,0.02095,0.5578,0.62398,0.64679,0.51752,0.82033,1.36353,0.01797,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
run_01_imgsz_416,imgsz,416,2,1102.04,1.19433,1.74848,0.02119,0.65874,0.68994,0.74064,0.57425,0.90913,1.17688,0.02008,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
run_01_imgsz_416,imgsz,416,3,1545.37,1.27206,1.70151,0.02253,0.6423,0.61556,0.67471,0.49988,1.04383,1.41124,0.02461,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
run_01_imgsz_416,imgsz,416,4,1979.32,1.31278,1.65829,0.02312,0.77786,0.67321,0.7708,0.58995,0.94879,1.04111,0.02182,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
run_01_imgsz_416,imgsz,416,5,2411.79,1.27183,1.48761,0.02224,0.7454,0.72405,0.76709,0.61825,0.82581,1.00381,0.01857,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
run_01_imgsz_416,imgsz,416,6,2846.65,1.21918,1.38005,0.02124,0.82134,0.74539,0.82732,0.65216,0.84663,0.88246,0.01896,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
run_01_imgsz_416,imgsz,416,7,3280.06,1.2017,1.30322,0.02094,0.82162,0.7022,0.79279,0.63829,0.86321,0.98298,0.01929,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
run_01_imgsz_416,imgsz,416,8,3713.4,1.17403,1.21259,0.02024,0.78804,0.76515,0.8216,0.6578,0.83118,0.88388,0.01899,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
run_01_imgsz_416,imgsz,416,9,4146.97,1.15778,1.17805,0.01993,0.82714,0.73938,0.84021,0.69398,0.78458,0.83575,0.01723,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
run_01_imgsz_416,imgsz,416,10,4579.96,1.14568,1.12768,0.01975,0.81516,0.75808,0.83755,0.68976,0.80253,0.77935,0.01796,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
run_01_imgsz_416,imgsz,416,11,5015.31,1.12738,1.08599,0.01941,0.81035,0.79631,0.84723,0.70409,0.76876,0.75905,0.0168,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
run_01_imgsz_416,imgsz,416,12,5449.95,1.11095,1.06704,0.01912,0.81669,0.74141,0.8421,0.7001,0.75748,0.78971,0.01671,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
run_01_imgsz_416,imgsz,416,13,5883.99,1.08656,1.03434,0.0186,0.81758,0.74847,0.79872,0.66366,0.77996,0.94569,0.01708,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
run_01_imgsz_416,imgsz,416,14,6316.95,1.07096,0.99358,0.01839,0.83769,0.78599,0.86997,0.72956,0.73827,0.69846,0.01621,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
run_01_imgsz_416,imgsz,416,15,6750.94,1.06079,0.9667,0.01816,0.79997,0.78871,0.85478,0.7149,0.75922,0.77192,0.01659,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
run_01_imgsz_416,imgsz,416,16,7186.35,1.05208,0.9464,0.01789,0.85481,0.78459,0.85899,0.72467,0.72391,0.7716,0.01581,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
run_01_imgsz_416,imgsz,416,17,7620.69,1.02743,0.91115,0.01737,0.81115,0.82788,0.87095,0.7281,0.74229,0.74158,0.01623,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
run_01_imgsz_416,imgsz,416,18,8056.04,1.01845,0.88695,0.01724,0.83506,0.81207,0.86986,0.73297,0.73366,0.74678,0.01579,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
run_01_imgsz_416,imgsz,416,19,8491.72,0.99833,0.85985,0.01691,0.85374,0.77841,0.86437,0.73165,0.7275,0.7506,0.01579,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
run_01_imgsz_416,imgsz,416,20,8926.63,0.98428,0.84975,0.01665,0.79662,0.80705,0.85704,0.72501,0.73331,0.76835,0.01592,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
run_01_imgsz_416,imgsz,416,21,9341.39,0.81313,0.39634,0.01944,0.78566,0.80257,0.84836,0.7139,0.74362,0.81233,0.01615,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
run_01_imgsz_416,imgsz,416,22,9754.22,0.78818,0.40488,0.01886,0.82511,0.76713,0.834,0.69825,0.74622,0.82766,0.01613,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
run_01_imgsz_416,imgsz,416,23,10167.3,0.76863,0.37443,0.01832,0.86211,0.70508,0.82049,0.67717,0.77792,0.91903,0.0169,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
run_01_imgsz_416,imgsz,416,24,10580.5,0.75224,0.34949,0.01788,0.77832,0.76686,0.83005,0.68558,0.76759,0.89973,0.01649,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
run_01_imgsz_416,imgsz,416,25,10992.1,0.73319,0.34456,0.01744,0.77893,0.78673,0.83664,0.68829,0.77934,0.89822,0.01677,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
run_01_imgsz_416,imgsz,416,26,11404.7,0.71628,0.33266,0.01698,0.77849,0.77338,0.81974,0.67521,0.78326,0.9274,0.01689,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
run_01_imgsz_416,imgsz,416,27,11909.8,0.698,0.32886,0.01656,0.83845,0.75417,0.82783,0.68243,0.77226,0.9523,0.01665,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
run_01_imgsz_416,imgsz,416,28,12384.2,0.68583,0.32062,0.01622,0.85027,0.73475,0.82849,0.68266,0.77631,0.9503,0.01668,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
run_02_imgsz_512,imgsz,512,1,660.218,1.16836,3.27383,0.02076,0.61241,0.5767,0.67504,0.53774,0.81742,1.38489,0.01853,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
run_02_imgsz_512,imgsz,512,2,1177.47,1.18307,1.72802,0.02096,0.7336,0.71291,0.77373,0.61922,0.81286,1.08507,0.01828,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
run_02_imgsz_512,imgsz,512,3,1655.72,1.25199,1.67118,0.02226,0.70476,0.6073,0.69545,0.5405,0.9489,1.27361,0.02219,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
run_02_imgsz_512,imgsz,512,4,2126.84,1.29986,1.64282,0.02304,0.68091,0.72225,0.75215,0.5912,0.88216,1.13032,0.02049,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
